doy,year,NEE_gCm2day,NEE_unc_gCm2day,GPP_gCm2day,GPP_unc_gCm2day,Reco_gCm2day,Reco_unc_gCm2day,Evap_kgH2Om2day,Evap_unc_kgH2Om2day,Cwood_stock_gCm2,Cwood_stock_unc_gCm2,Croots_stock_gCm2,Croots_stock_unc_gCm2,Cfol_stock_gCm2,Cfol_stock_unc,LAI_m2m2,LAI_unc_m2m2,foliage_to_litter_gCm2day,foliage_to_litter_unc_gCm2day,foliage_to_litter_lag_tstep
7,2000,1.378513046,0.58565463,0.061201955,1.572188903,1.292079949,1.000011313,-0.042473948,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
14,2000,1.262389893,0.657248204,0.069064902,1.621375722,1.231262492,1.000143033,0.048981648,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
21,2000,1.125727927,0.592850996,0.127633315,1.395783813,1.190141294,1.003230364,0.05029421,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
28,2000,1.00724021,0.778858225,0.135436801,1.559048699,1.019795705,1.00044081,0.041989649,0.285779919,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
35,2000,1.148506302,0.622933858,0.21645225,1.50974594,1.462609297,1.000077325,-0.314127113,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
42,2000,1.362698393,0.642794987,0.23129387,1.516380249,1.638284631,1.000131865,0.162136637,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
49,2000,1.163440646,0.58565463,0.163994886,1.536034001,1.198041334,1.000011313,0.112683276,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
56,2000,1.231504004,0.610227219,0.186513078,1.527202886,1.260506383,1.001415391,0.099935486,0.189733203,18976.42,3795.28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
63,2000,1.262676568,0.647013587,0.230059067,1.593706834,1.323515825,1.000098374,0.237927739,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
70,2000,1.206933425,0.619502028,0.150321341,1.61628188,1.290849218,1.000081322,0.383124184,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
77,2000,1.411273174,0.607301113,0.205401665,1.388414213,1.52580706,1.000055632,0.571592673,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
84,2000,1.78312851,0.646886975,0.265760904,1.661419063,1.9765463,1.000135699,0.667812956,0.232583691,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
91,2000,1.762328555,0.592850996,0.314372403,1.446061264,2.178893796,1.003230364,0.288769552,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
98,2000,1.304620182,0.66448997,1.170819427,1.363932958,2.517030372,1.006126308,0.762646366,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
105,2000,1.426807259,0.634684492,1.4013208,1.364591354,2.748606719,1.000114007,0.794828429,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
112,2000,2.195719479,0.724028434,1.722529073,1.573777319,3.848124611,1.00030651,0.929806814,0.285134753,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
