TIMESTAMP,MeanT,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,SW_IN_ERA,LW_IN_ERA,VPD_ERA,PA_ERA,Precip,WS_ERA
19890101,4.356,4.216,0.919,4.611,0.569,6.503,332.164,0.743,97.805,0.45,1.75
19890102,4.387,3.949,1.027,5.185,0.385,12.077,325.744,0.943,97.932,0.177,1.4
19890103,0.078,-0.18,0.909,0.549,1.674,43.236,259.716,1.152,97.716,0.001,2.256
19890104,0.222,0.067,1.121,0.505,1.134,42.276,260.171,1.129,97.327,0.091,3.723
19890105,2.318,1.953,0.439,2.985,0.439,27.077,299.009,1.236,96.778,2.029,3.684
19890106,0.996,1.02,0.185,0.954,0.301,10.601,314.388,0.781,95.605,9.277,1.663
19890107,1.728,1.964,1.074,1.296,0.71,11.419,316.164,0.889,96.017,1.521,3.149
19890108,6.069,5.657,1.534,6.821,0.723,6.633,338.106,1.034,96.164,2.377,3.886
19890109,6.802,6.692,0.493,7.001,0.133,15.184,335.133,1.243,96.125,0.194,3.262
19890110,5.384,5.42,0.581,5.32,0.415,6.88,333.136,1.213,95.996,4.539,3.832
19890111,1.362,1.03,1.077,1.968,1.044,43.09,271.173,1.224,96.707,0.026,2.376
19890112,3.429,3.324,2.242,3.62,1.367,42.572,287.417,1.541,96.371,0.27,4.074
19890113,3.818,3.519,1.689,4.363,1.08,43.571,275.357,2.164,97.175,0.374,4.107
19890114,3.771,3.05,1.436,4.972,1.488,37.443,286.645,1.684,97.273,0.318,4.756
19890115,3.204,3.083,1.799,3.404,1.516,38.789,282.609,1.631,97.64,0.022,4.903
19890116,4.975,4.887,0.255,5.121,0.389,16.423,328.386,1.517,97.523,0.236,3.625
19890117,3.348,3.388,1.166,3.281,0.238,15.274,319.922,1.582,97.278,0.728,3.778
19890118,1.874,1.421,1.121,2.63,0.385,37.567,294.202,1.239,97.711,0.056,2.251
19890119,-0.501,-0.943,0.935,0.235,1.123,56.343,250.816,1.119,97.732,0.001,1.611
19890120,-1.694,-2.3,0.441,-0.683,1.377,57.535,247.064,0.826,97.268,0.002,1.305
19890121,0.861,0.631,1.601,1.243,1.388,44.022,289.166,1.175,96.458,0.036,3.597
19890122,2.577,2.449,0.559,2.791,0.697,25.277,314.439,1.128,96.686,0.227,2.27
19890123,1.084,0.634,0.634,1.835,0.73,29.537,302.119,1.18,97.669,0.018,2.2
19890124,-0.762,-1.323,1.01,0.174,0.529,52.693,262.549,1.132,97.559,0.004,1.445
19890125,-2.72,-3.591,0.977,-1.269,1.82,65.687,235.707,1.023,97.322,0.0,1.892
19890126,-2.803,-3.89,1.523,-0.993,2.978,67.039,239.592,1.116,97.311,0.0,1.72
19890127,-3.098,-4.558,1.35,-0.664,2.952,69.536,236.081,1.198,97.79,0.0,1.838
19890128,-3.23,-4.512,1.734,-1.094,2.734,70.198,237.05,1.242,97.809,0.0,2.052
19890129,-2.161,-2.344,1.739,-1.856,0.528,10.371,302.885,0.755,98.228,0.082,1.57
19890130,0.377,0.179,0.43,0.708,0.648,39.292,309.249,0.936,98.27,0.053,2.88
19890131,0.559,0.176,0.461,1.197,0.497,19.015,319.927,0.696,98.38,0.114,1.644
19890201,-0.235,-0.922,0.394,0.813,1.135,46.578,293.728,0.703,97.91,0.073,1.553
19890202,-2.141,-2.442,0.7,-1.68,0.558,56.649,262.09,0.779,97.621,0.021,1.472
19890203,-2.095,-2.647,0.506,-1.252,0.857,62.524,261.009,0.797,97.438,0.026,2.237
19890204,-2.448,-3.292,1.261,-1.267,1.927,81.347,237.414,1.094,97.151,0.0,2.925
19890205,-0.163,-0.521,1.773,0.339,1.12,21.027,299.027,0.883,96.842,1.238,4.815
19890206,4.713,4.129,1.593,5.531,0.913,26.552,324.879,1.333,97.274,0.055,4.612
19890207,4.973,4.288,0.834,5.933,1.18,40.976,308.289,1.598,97.406,0.016,3.48
19890208,2.192,1.64,1.543,2.965,1.692,50.701,297.012,0.928,97.276,0.017,1.406
19890209,-0.096,-1.021,1.024,1.2,2.33,75.57,277.016,0.845,96.85,0.045,1.553
19890210,-0.107,-1.36,0.976,1.649,2.094,90.379,251.666,1.141,97.064,0.0,1.996
19890211,-0.474,-1.769,1.42,1.339,2.456,94.078,252.983,1.095,97.895,0.0,1.878
19890212,1.138,0.814,1.859,1.593,1.076,27.679,299.443,0.96,97.517,2.209,3.999
