"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_reco","mod_reco_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_reco","obs_reco_unc","date"
"1",7,0.165999506244992,0.192408160648583,0.339658305565585,0.390178350994312,1.63809270204867,1.77368773049088,7,2015,0.13661539,1.485410822,NA,-9999,1.366937871,1.000033007,2015-01-07
"2",14,0.146584003380895,0.166772356693928,0.326355202033346,0.374954039541001,1.76732987817898,1.904188569183,14,2015,0.12169516,1.613666311,NA,-9999,1.44534419,1,2015-01-14
"3",21,0.199306747626381,0.23271852756701,0.316253734061524,0.363741580819519,1.647299108189,1.78239959612525,21,2015,0.093569162,1.556849407,NA,-9999,1.342047201,1.000054057,2015-01-21
"4",28,0.156309916594607,0.181603027288845,0.308614276595894,0.356168109799288,1.58734077710259,1.72038221637132,28,2015,0.238257256,1.496834513,NA,-9999,1.20507542,1,2015-01-28
"5",35,0.223165833402877,0.260786085820013,0.30242838032116,0.350586745506125,1.58546615648823,1.72010726681794,35,2015,0.142610424,1.530676764,NA,-9999,1.13786611,1,2015-02-04
"6",42,0.274079962565359,0.320950386765985,0.298115789773238,0.346040409640957,1.59190704005293,1.72856331389891,42,2015,0.274416913,1.583311075,0.1,0.25,1.167244419,1.000011313,2015-02-11
"7",49,0.364170390722229,0.427935999798106,0.295227128912276,0.34409498572275,1.66074550664456,1.79716905383826,49,2015,0.183086518,1.433563529,0.54,0.25,1.168455112,1.00014701,2015-02-18
"8",56,0.396495616513614,0.457808549662594,0.294607290159994,0.344401200525496,1.71920328926477,1.85440474099335,56,2015,0.287804654,1.593285813,0.65,0.25,1.354029597,1.000033938,2015-02-25
"9",63,0.526907700754526,0.607796351245955,0.296215619981449,0.34573177912125,1.7965474240858,1.93091187796704,63,2015,0.272580685,1.588021865,NA,-9999,1.48166064,1,2015-03-04
"10",70,0.554398346016876,0.643589118437038,0.299900769987963,0.349600313692599,1.87757857086277,2.02177917625767,70,2015,0.258510838,1.498359233,0.5,0.25,1.771205651,1.000091383,2015-03-11
"11",77,0.517423095494487,0.599356635710332,0.304372865744251,0.354619353024638,1.82185382651602,1.96403522105049,77,2015,0.364469674,1.411126375,0.5,0.25,1.835007673,1.001451443,2015-03-18
"12",84,0.677569106893335,0.781127455279863,0.309792320328942,0.360590383844742,1.90804536713667,2.0544051896914,84,2015,0.910954777,1.447240453,0.7,0.25,3.337117407,1.000178925,2015-03-25
"13",91,0.59420868444471,0.681703413309392,0.32267229420054,0.373214699697597,1.87023717235713,2.01588386156523,91,2015,0.515094062,1.460254612,0.52,0.25,1.973762115,1,2015-04-01
"14",98,0.873572703245133,0.993763920054459,0.350334562531466,0.401219887761796,1.92481442531454,2.05971191349765,98,2015,0.73715997,1.354125931,0.66,0.25,1.96377119,1.000185824,2015-04-08
"15",105,1.4616750279217,1.60591910150858,0.424974573243773,0.471737737800421,2.32869375871239,2.46897976341161,105,2015,1.765440907,1.358774115,0.95,0.25,3.451542412,1.006098435,2015-04-15
"16",112,1.96329049467313,2.0959706869664,0.609624383078745,0.653002751210665,2.37472275646471,2.5011986930961,112,2015,NA,2.116306013,1.22,0.25,NA,1.147121965,2015-04-22
"17",119,3.12852604928783,3.26868067396643,1.01385580331587,1.06604417363913,2.73861921062668,2.87440965526139,119,2015,NA,2.116306013,1.3,0.26,NA,1.147121965,2015-04-29
"18",126,5.16142194145132,5.30868943130692,1.75975173875274,1.82533788231961,3.32748248645336,3.46541111336831,126,2015,6.251290541,1.356420921,2.9,1.66,5.054694318,1.001685049,2015-05-06
