"","year","week","sm_z_scores","order","temp_z_scores","X","AverageWeeklyMeanT","sd","WeeklyMeanT"
"1",2000,18,0.629908000075416,210,1.21739356536844,572,10.3428080357143,3.29337605806647,14.3521428571429
"2",2000,19,0.563221729844962,211,1.3453606294596,607,11.5140133928571,3.52618212787187,16.258
"3",2000,20,0.63931584527277,212,0.780113886134042,632,11.6772723214286,3.33707571857719,14.2805714285714
"4",2000,21,0.605408324505907,213,-0.611467324700617,659,12.9821517857143,3.36078289968734,10.9271428571429
"5",2000,22,0.597926638402693,214,-0.5116956912784,686,13.59275,3.54374965331655,11.7794285714286
"6",2000,23,0.941362493965433,215,0.241767345527985,715,14.6589910714286,3.749213931354,15.5654285714286
"7",2000,24,1.35870486845605,216,0.771784856246875,741,14.4680580357143,2.89136716637427,16.6995714285714
"8",2000,25,1.25376828301316,217,0.93821428619421,772,15.2339508928571,3.38337932830359,18.4082857142857
"9",2000,26,1.26534491161064,218,-1.70402463188961,803,16.0508928571429,3.12715550014725,10.7221428571429
"10",2000,27,1.42786083692292,219,-0.411795442238572,833,16.6393482142857,3.20597369889768,15.3191428571429
"11",2000,28,1.4880459510089,220,-1.36543413015886,865,16.3221116071429,3.18881117072731,11.968
"12",2000,29,1.41837058560674,221,-1.44864807193298,897,17.1289151785714,3.29779457313289,12.3515714285714
"13",2000,30,1.16384524106945,222,-0.872205395755505,936,17.7828883928571,3.26204598250428,14.9377142857143
"14",2000,31,1.32225977173819,223,-0.789355317931962,969,18.0801339285714,3.07501163363736,15.6528571428571
"15",2000,32,1.41654259524923,224,-0.5496148677865,996,17.7713482142857,3.28839032605605,15.964
"16",2000,33,1.06499204449213,225,0.852457130779346,1026,16.7994151785714,2.70580741030325,19.106
"17",2000,34,1.0402883066434,226,-0.26329882005587,1058,16.6523035714286,3.04874948807924,15.8495714285714
"18",2000,35,1.09085252975099,227,0.0493521158439038,1095,14.8696160714286,3.1513701703533,15.0251428571429
"19",2000,36,1.02067127702935,228,-0.758514059348186,1127,13.9749464285714,2.75079654942165,11.8884285714286
"20",2001,18,0.571429129824772,229,0.697735760959255,547,10.3428080357143,3.29337605806647,12.6407142857143
"21",2001,19,0.515194793401754,230,0.270705823210101,591,11.5140133928571,3.52618212787187,12.4685714285714
"22",2001,20,0.582125550782503,231,0.220813250239487,615,11.6772723214286,3.33707571857719,12.4141428571429
"23",2001,21,0.59570401882093,232,0.213085447631271,650,12.9821517857143,3.36078289968734,13.6982857142857
"24",2001,22,0.34431896324811,233,-0.277319251115907,676,13.59275,3.54374965331655,12.61
"25",2001,23,0.769764698857122,234,-1.06292518952961,706,14.6589910714286,3.749213931354,10.6738571428571
"26",2001,24,1.17533334088376,235,-0.406698669144112,742,14.4680580357143,2.89136716637427,13.2921428571429
"27",2001,25,1.23247718741505,236,-0.84605420902177,774,15.2339508928571,3.38337932830359,12.3714285714286
"28",2001,26,1.18322880217386,237,0.470338436480738,801,16.0508928571429,3.12715550014725,17.5217142857143
"29",2001,27,0.813451289966792,238,0.354363592419214,836,16.6393482142857,3.20597369889768,17.7754285714286
"30",2001,28,0.531500271886429,239,-0.292575728084648,868,16.3221116071429,3.18881117072731,15.3891428571429
"31",2001,29,1.2326849659474,240,-0.745060973697979,900,17.1289151785714,3.29779457313289,14.6718571428571
"32",2001,30,0.710243273620052,241,0.702397966360609,929,17.7828883928571,3.26204598250428,20.0741428571429
"33",2001,31,0.467881202988548,242,0.0299679470172592,978,18.0801339285714,3.07501163363736,18.1722857142857
"34",2001,32,0.524987876823369,243,-0.833427195930964,1000,17.7713482142857,3.28839032605605,15.0307142857143
"35",2001,33,0.380016217835137,244,1.37783503578408,1025,16.7994151785714,2.70580741030325,20.5275714285714
"36",2001,34,0.398450717247903,245,1.1336205265515,1059,16.6523035714286,3.04874948807924,20.1084285714286
"37",2001,35,0.386204037813737,246,-0.0915843127994844,1091,14.8696160714286,3.1513701703533,14.581
"38",2001,36,0.511524669280578,247,-0.897279060269303,1122,13.9749464285714,2.75079654942165,11.5067142857143
"39",2002,18,0.798178516288166,248,-0.471364167624734,548,10.3428080357143,3.29337605806647,8.79042857142857
"40",2002,19,0.238845625130008,249,0.507384303874735,588,11.5140133928571,3.52618212787187,13.3031428571429
"41",2002,20,0.294041984019193,250,0.767313971083714,616,11.6772723214286,3.33707571857719,14.2378571428571
"42",2002,21,0.327852067988219,251,0.112513643355713,656,12.9821517857143,3.36078289968734,13.3602857142857
"43",2002,22,0.556437386310926,252,-0.313076372275894,685,13.59275,3.54374965331655,12.4832857142857
"44",2002,23,0.654275224817924,253,0.152834417844079,718,14.6589910714286,3.749213931354,15.232
"45",2002,24,1.0180562512054,254,0.453843321537373,755,14.4680580357143,2.89136716637427,15.7802857142857
"46",2002,25,0.531587890699794,255,1.02831862072948,779,15.2339508928571,3.38337932830359,18.7131428571429
"47",2002,26,0.0891069147414011,256,-0.650945289660636,809,16.0508928571429,3.12715550014725,14.0152857142857
"48",2002,27,0.0824388867572644,257,-0.443076333382589,842,16.6393482142857,3.20597369889768,15.2188571428571
"49",2002,28,0.0718337545252393,258,0.338246017347396,874,16.3221116071429,3.18881117072731,17.4007142857143
"50",2002,29,0.806383369313184,259,-0.798733207087535,905,17.1289151785714,3.29779457313289,14.4948571428571
"51",2002,30,0.495294956591577,260,-0.380839807577442,930,17.7828883928571,3.26204598250428,16.5405714285714
"52",2002,31,0.24851358722263,261,0.179700249292802,987,18.0801339285714,3.07501163363736,18.6327142857143
"53",2002,32,0.239432682964059,262,-0.560258373127904,1009,17.7713482142857,3.28839032605605,15.929
"54",2002,33,0.407369997310468,263,0.587313141337689,1033,16.7994151785714,2.70580741030325,18.3885714285714
"55",2002,34,0.595630499535576,264,0.487969390200266,1069,16.6523035714286,3.04874948807924,18.14
"56",2002,35,0.894031321016859,265,0.74773314501077,1098,14.8696160714286,3.1513701703533,17.226
"57",2002,36,0.261306609290811,266,0.6136079800742,1129,13.9749464285714,2.75079654942165,15.6628571428571
"58",2003,18,-0.434625665232918,267,0.911281284423889,545,10.3428080357143,3.29337605806647,13.344
"59",2003,19,-0.133298371063442,268,0.336377822038834,578,11.5140133928571,3.52618212787187,12.7001428571429
"60",2003,20,0.305475862340115,269,-0.517900241761812,610,11.6772723214286,3.33707571857719,9.949
"61",2003,21,0.313262824644209,270,0.204201463229935,641,12.9821517857143,3.36078289968734,13.6684285714286
"62",2003,22,-0.0344623344744885,271,1.29792907633333,682,13.59275,3.54374965331655,18.1922857142857
"63",2003,23,-0.473911423491556,272,1.27002098155098,734,14.6589910714286,3.749213931354,19.4205714285714
"64",2003,24,-0.907091911886535,273,1.01017924707412,740,14.4680580357143,2.89136716637427,17.3888571428571
"65",2003,25,-0.953884961187641,274,0.332564532410844,784,15.2339508928571,3.38337932830359,16.3591428571429
"66",2003,26,-1.14751245848617,275,0.243477773045487,811,16.0508928571429,3.12715550014725,16.8122857142857
"67",2003,27,-0.730330686925984,276,-0.591460047783542,843,16.6393482142857,3.20597369889768,14.7431428571429
"68",2003,28,-0.881523905642966,277,0.234087182170227,884,16.3221116071429,3.18881117072731,17.0685714285714
"69",2003,29,-1.1150639782854,278,1.31939231657328,907,17.1289151785714,3.29779457313289,21.48
"70",2003,30,-1.05603120581359,279,0.186507892498049,935,17.7828883928571,3.26204598250428,18.3912857142857
"71",2003,31,-0.998201215723243,280,1.38796513219138,974,18.0801339285714,3.07501163363736,22.3481428571429
"72",2003,32,-1.0356643472698,281,2.02971918378574,1003,17.7713482142857,3.28839032605605,24.4458571428571
"73",2003,33,-1.06380296158459,282,0.910058104988974,1030,16.7994151785714,2.70580741030325,19.2618571428571
"74",2003,34,-1.01985641238222,283,0.197124147197718,1062,16.6523035714286,3.04874948807924,17.2532857142857
"75",2003,35,-0.768924912703629,284,-0.677451924181587,1103,14.8696160714286,3.1513701703533,12.7347142857143
"76",2003,36,-0.613526858036254,285,-0.187614487819103,1144,13.9749464285714,2.75079654942165,13.4588571428571
"77",2004,18,-0.41811120868204,286,0.603520673214958,549,10.3428080357143,3.29337605806647,12.3304285714286
"78",2004,19,1.40532510087777,287,-0.826960516250186,577,11.5140133928571,3.52618212787187,8.598
"79",2004,20,0.0432491648327515,288,-0.0742697412049347,611,11.6772723214286,3.33707571857719,11.4294285714286
"80",2004,21,0.212711792428332,289,-1.37115425877197,642,12.9821517857143,3.36078289968734,8.374
"81",2004,22,0.179986567776856,290,-0.544429380547741,680,13.59275,3.54374965331655,11.6634285714286
"82",2004,23,0.219422891442461,291,0.212923204029811,709,14.6589910714286,3.749213931354,15.4572857142857
"83",2004,24,-0.220098937134306,292,0.0606037450411849,765,14.4680580357143,2.89136716637427,14.6432857142857
"84",2004,25,-0.532586507488541,293,-0.802015398843572,788,15.2339508928571,3.38337932830359,12.5204285714286
"85",2004,26,-0.392617133474566,294,-0.597724856132222,816,16.0508928571429,3.12715550014725,14.1817142857143
"86",2004,27,-0.0982350691555635,295,-0.93474777623556,844,16.6393482142857,3.20597369889768,13.6425714285714
"87",2004,28,0.003472701380582,296,-1.1252640160149,876,16.3221116071429,3.18881117072731,12.7338571428571
"88",2004,29,0.225714497568796,297,0.286797459989873,908,17.1289151785714,3.29779457313289,18.0747142857143
"89",2004,30,0.800950245100601,298,-0.554394337519467,944,17.7828883928571,3.26204598250428,15.9744285714286
"90",2004,31,0.497918958336966,299,0.208643229223816,983,18.0801339285714,3.07501163363736,18.7217142857143
"91",2004,32,0.0551464995011602,300,1.00663938464259,1016,17.7713482142857,3.28839032605605,21.0815714285714
"92",2004,33,-0.175561222049112,301,0.431827468516965,1039,16.7994151785714,2.70580741030325,17.9678571428571
"93",2004,34,-0.0746399864681238,302,-0.401200793659275,1071,16.6523035714286,3.04874948807924,15.4291428571429
"94",2004,35,-0.238776693656611,303,-0.361126932520788,1108,14.8696160714286,3.1513701703533,13.7315714285714
"95",2004,36,-0.299697237189338,304,0.8401916997669,1151,13.9749464285714,2.75079654942165,16.2861428571429
"96",2005,18,-0.278298639918484,305,0.893713553974344,546,10.3428080357143,3.29337605806647,13.2861428571429
"97",2005,19,0.0313506084579832,306,-1.53663133887977,589,11.5140133928571,3.52618212787187,6.09557142857143
"98",2005,20,0.468037602197851,307,-0.870775491794647,626,11.6772723214286,3.33707571857719,8.77142857142857
"99",2005,21,0.505135963230283,308,0.769333389621966,658,12.9821517857143,3.36078289968734,15.5677142857143
"100",2005,22,0.419521733985358,309,0.38166796376823,681,13.59275,3.54374965331655,14.9452857142857
"101",2005,23,0.460183496475891,310,-1.04162548662672,714,14.6589910714286,3.749213931354,10.7537142857143
"102",2005,24,0.462956390552178,311,-0.332289974307688,753,14.4680580357143,2.89136716637427,13.5072857142857
"103",2005,25,-0.027285377723634,312,1.11648068751,789,15.2339508928571,3.38337932830359,19.0114285714286
"104",2005,26,0.623232260476038,313,0.313189688551363,821,16.0508928571429,3.12715550014725,17.0302857142857
"105",2005,27,1.04618034650228,314,-0.431669056840029,853,16.6393482142857,3.20597369889768,15.2554285714286
"106",2005,28,0.51522292161705,315,0.898105356361976,881,16.3221116071429,3.18881117072731,19.186
"107",2005,29,0.0114632139437778,316,-0.402104499327425,909,17.1289151785714,3.29779457313289,15.8028571428571
"108",2005,30,-0.234852026065447,317,0.171442851291894,932,17.7828883928571,3.26204598250428,18.3421428571429
"109",2005,31,-0.236523797726486,318,-0.758321753575745,988,18.0801339285714,3.07501163363736,15.7482857142857
"110",2005,32,-0.368596664637374,319,-1.58781278880234,1017,17.7713482142857,3.28839032605605,12.55
"111",2005,33,-0.401985996133672,320,-0.599974400391438,1055,16.7994151785714,2.70580741030325,15.176
"112",2005,34,0.00618005384082277,321,-0.342253908578395,1086,16.6523035714286,3.04874948807924,15.6088571428571
"113",2005,35,-0.145832076027618,322,0.907754242827141,1120,14.8696160714286,3.1513701703533,17.7302857142857
"114",2005,36,0.04236795235971,323,1.63860978515655,1148,13.9749464285714,2.75079654942165,18.4824285714286
"115",2006,18,-0.0877925875640174,324,0.387676162802581,553,10.3428080357143,3.29337605806647,11.6195714285714
"116",2006,19,-0.409828870810494,325,0.676446149101256,594,11.5140133928571,3.52618212787187,13.8992857142857
"117",2006,20,-0.159885075611774,326,0.187764640142973,635,11.6772723214286,3.33707571857719,12.3038571428571
"118",2006,21,0.472531463217682,327,-0.593444313283535,667,12.9821517857143,3.36078289968734,10.9877142857143
"119",2006,22,0.592044419297053,328,-1.48753856830174,694,13.59275,3.54374965331655,8.32128571428571
"120",2006,23,0.563254434777309,329,-0.72948386555282,723,14.6589910714286,3.749213931354,11.924
"121",2006,24,0.552703435140856,330,1.20548971897882,762,14.4680580357143,2.89136716637427,17.9535714285714
"122",2006,25,0.200892249895993,331,0.696866406061354,790,15.2339508928571,3.38337932830359,17.5917142857143
"123",2006,26,0.192545941261406,332,0.464399675657836,813,16.0508928571429,3.12715550014725,17.5031428571429
"124",2006,27,0.0764486729094512,333,1.06740749567581,854,16.6393482142857,3.20597369889768,20.0614285714286
"125",2006,28,-0.109584250236413,334,0.972920519693515,886,16.3221116071429,3.18881117072731,19.4245714285714
"126",2006,29,-0.403845268121367,335,1.55885971461805,913,17.1289151785714,3.29779457313289,22.2697142857143
"127",2006,30,-0.591670981659078,336,1.45420483376282,957,17.7828883928571,3.26204598250428,22.5265714285714
"128",2006,31,-0.22674256197089,337,-0.490587574855955,963,18.0801339285714,3.07501163363736,16.5715714285714
"129",2006,32,0.0287857262716897,338,-0.953025441665189,1015,17.7713482142857,3.28839032605605,14.6374285714286
"130",2006,33,0.0210454681028678,339,-0.658842490440702,1056,16.7994151785714,2.70580741030325,15.0167142857143
"131",2006,34,0.12835239037471,340,-0.778592059511157,1087,16.6523035714286,3.04874948807924,14.2785714285714
"132",2006,35,0.673607291419382,341,-0.368017359395605,1119,14.8696160714286,3.1513701703533,13.7098571428571
"133",2006,36,1.06710454025321,342,0.665385190372994,1152,13.9749464285714,2.75079654942165,15.8052857142857
"134",2007,18,-1.03236052207074,343,0.284134995930736,568,10.3428080357143,3.29337605806647,11.2785714285714
"135",2007,19,-0.155524429029045,344,0.189557758031887,599,11.5140133928571,3.52618212787187,12.1824285714286
"136",2007,20,0.443309488754105,345,-0.059158135811096,628,11.6772723214286,3.33707571857719,11.4798571428571
"137",2007,21,0.407814235439993,346,1.54126236918415,664,12.9821517857143,3.36078289968734,18.162
"138",2007,22,0.906759947789108,347,-0.278649561147793,688,13.59275,3.54374965331655,12.6052857142857
"139",2007,23,0.539939385246181,348,1.0749324683798,710,14.6589910714286,3.749213931354,18.6891428571429
"140",2007,24,0.311290748985827,349,1.04688951285334,767,14.4680580357143,2.89136716637427,17.495
"141",2007,25,0.326078957331182,350,0.342613656881038,792,15.2339508928571,3.38337932830359,16.3931428571429
"142",2007,26,0.887078192847757,351,-0.748340967156385,823,16.0508928571429,3.12715550014725,13.7107142857143
"143",2007,27,0.657506530413747,352,-0.729906954883813,855,16.6393482142857,3.20597369889768,14.2992857142857
"144",2007,28,0.405710334386317,353,0.0136288475866655,888,16.3221116071429,3.18881117072731,16.3655714285714
"145",2007,29,0.333990513356494,354,0.686631773295435,918,17.1289151785714,3.29779457313289,19.3932857142857
"146",2007,30,0.897542251439035,355,-0.588290680233378,942,17.7828883928571,3.26204598250428,15.8638571428571
"147",2007,31,1.27637727530054,356,-1.32561345170996,979,18.0801339285714,3.07501163363736,14.0038571428571
"148",2007,32,1.48964418635273,357,-0.327708642137951,1012,17.7713482142857,3.28839032605605,16.6937142857143
"149",2007,33,1.50816919766659,358,-0.196609191443962,1041,16.7994151785714,2.70580741030325,16.2674285714286
"150",2007,34,1.2470270823206,359,-0.202571345441501,1081,16.6523035714286,3.04874948807924,16.0347142857143
"151",2007,35,0.918092403366854,360,-0.65415140172333,1109,14.8696160714286,3.1513701703533,12.8081428571429
"152",2007,36,0.87193296587297,361,-1.00218373910935,1149,13.9749464285714,2.75079654942165,11.2181428571429
"153",2008,18,0.170894578264647,362,-0.20173203805817,575,10.3428080357143,3.29337605806647,9.67842857142857
"154",2008,19,0.0404948957096138,363,0.713920917094211,606,11.5140133928571,3.52618212787187,14.0314285714286
"155",2008,20,0.00263485847508471,364,0.305874893065538,638,11.6772723214286,3.33707571857719,12.698
"156",2008,21,-0.0386166108866204,365,-0.156216258009478,672,12.9821517857143,3.36078289968734,12.4571428571429
"157",2008,22,-0.140768038996965,366,1.40894949535768,697,13.59275,3.54374965331655,18.5857142857143
"158",2008,23,-0.402415169731862,367,0.672371893838052,719,14.6589910714286,3.749213931354,17.1798571428571
"159",2008,24,-0.2373667838994,368,-0.753198122589008,768,14.4680580357143,2.89136716637427,12.2902857142857
"160",2008,25,-0.16730697214485,369,0.2855278741764,797,15.2339508928571,3.38337932830359,16.2
"161",2008,26,-0.0785113467590615,370,0.135118229415135,829,16.0508928571429,3.12715550014725,16.4734285714286
"162",2008,27,-0.480214358841765,371,0.468168999800613,861,16.6393482142857,3.20597369889768,18.1402857142857
"163",2008,28,-0.594901275391149,372,-0.278060690408352,896,16.3221116071429,3.18881117072731,15.4354285714286
"164",2008,29,-0.584630059876161,373,-0.86297527497833,923,17.1289151785714,3.29779457313289,14.283
"165",2008,30,-0.600514020879747,374,0.341888026798941,955,17.7828883928571,3.26204598250428,18.8981428571429
"166",2008,31,-0.501989118637536,375,0.822949848209042,991,18.0801339285714,3.07501163363736,20.6107142857143
"167",2008,32,-0.421910588022814,376,0.067664999135995,1021,17.7713482142857,3.28839032605605,17.9938571428571
"168",2008,33,-0.416956645711377,377,-0.352675625691169,1047,16.7994151785714,2.70580741030325,15.8451428571429
"169",2008,34,-0.363084314906042,378,-0.363761555837636,1082,16.6523035714286,3.04874948807924,15.5432857142857
"170",2008,35,-0.212351638694553,379,0.488299506822927,1106,14.8696160714286,3.1513701703533,16.4084285714286
"171",2008,36,-0.18801941236735,380,0.33509125105479,1150,13.9749464285714,2.75079654942165,14.8967142857143
"172",2009,18,0.191036317236509,381,-0.0285272289591974,570,10.3428080357143,3.29337605806647,10.2488571428571
"173",2009,19,0.441807354920871,382,0.0250739114898925,602,11.5140133928571,3.52618212787187,11.6024285714286
"174",2009,20,0.626565085170749,383,0.542566298795422,639,11.6772723214286,3.33707571857719,13.4878571428571
"175",2009,21,0.501169000433418,384,0.651546208874876,671,12.9821517857143,3.36078289968734,15.1718571428571
"176",2009,22,0.162507973862945,385,-0.26651552116002,701,13.59275,3.54374965331655,12.6482857142857
"177",2009,23,0.132619168572744,386,-1.03331898352687,728,14.6589910714286,3.749213931354,10.7848571428571
"178",2009,24,0.566262427789028,387,-0.592127508268413,761,14.4680580357143,2.89136716637427,12.756
"179",2009,25,1.07462905520186,388,-0.522117726100261,800,15.2339508928571,3.38337932830359,13.4674285714286
"180",2009,26,1.21444445460768,389,0.524837987724856,832,16.0508928571429,3.12715550014725,17.6921428571429
"181",2009,27,0.80969495634252,390,0.403156435442938,864,16.6393482142857,3.20597369889768,17.9318571428571
"182",2009,28,0.982729038482503,391,-0.266636818163138,894,16.3221116071429,3.18881117072731,15.4718571428571
"183",2009,29,0.877483524086175,392,-0.053689831730815,925,17.1289151785714,3.29779457313289,16.9518571428571
"184",2009,30,1.07758301959997,393,-0.239386077647382,956,17.7828883928571,3.26204598250428,17.002
"185",2009,31,0.937552686222601,394,-0.49514040315971,982,18.0801339285714,3.07501163363736,16.5575714285714
"186",2009,32,0.620786721265596,395,0.262506311202117,1011,17.7713482142857,3.28839032605605,18.6345714285714
"187",2009,33,0.453536501040039,396,0.400466351486249,1038,16.7994151785714,2.70580741030325,17.883
"188",2009,34,0.0840200041678748,397,0.40784286119522,1065,16.6523035714286,3.04874948807924,17.8957142857143
"189",2009,35,-0.127210319548887,398,0.547185457549114,1090,14.8696160714286,3.1513701703533,16.594
