"","day","mod_gpp","mod_gpp_unc95","mod_gpp_unc50","doy","year","obs_gpp","obs_gpp_unc","date"
"1",7,0,0.143250085828491,0,7,2000,0.061201955,1.572188903,2000-01-07
"2",14,0,0,0,14,2000,0.069064902,1.621375722,2000-01-14
"3",21,0,0,0,21,2000,0.127633315,1.395783813,2000-01-21
"4",28,0,0,0,28,2000,0.135436801,1.559048699,2000-01-28
"5",35,0.016749260877498,0.0985050138561849,0.016749260877498,35,2000,0.21645225,1.50974594,2000-02-04
"6",42,0.136084405002099,0.198793139641139,0.136084405002099,42,2000,0.23129387,1.516380249,2000-02-11
"7",49,0,0.0478784060099049,0,49,2000,0.163994886,1.536034001,2000-02-18
"8",56,0,0.0567959272301981,0,56,2000,0.186513078,1.527202886,2000-02-25
"9",63,0.158484765067228,0.234192793578574,0.158484765067228,63,2000,0.230059067,1.593706834,2000-03-03
"10",70,0.141899141090023,0.210589549345286,0.141899141090023,70,2000,0.150321341,1.61628188,2000-03-10
"11",77,0.130889382884963,0.193403241805321,0.130889382884963,77,2000,0.205401665,1.388414213,2000-03-17
"12",84,0.257775738863502,0.361349215263453,0.257775738863502,84,2000,0.265760904,1.661419063,2000-03-24
"13",91,0.154860850790505,0.200545678935305,0.154860850790505,91,2000,0.314372403,1.446061264,2000-03-31
"14",98,0.556318205108799,0.660753233440589,0.556318205108799,98,2000,1.170819427,1.363932958,2000-04-07
"15",105,0.852645621658976,0.950809906305559,0.852645621658976,105,2000,1.4013208,1.364591354,2000-04-14
"16",112,1.63539011002859,1.74848157886758,1.63539011002859,112,2000,1.722529073,1.573777319,2000-04-21
"17",119,3.07129607310035,3.19417195815364,3.07129607310035,119,2000,4.071620639,1.631709582,2000-04-28
"18",126,5.22080895792169,5.34100708058,5.22080895792169,126,2000,5.560846446,1.394829502,2000-05-05
"19",133,7.2404958562667,7.36337930801627,7.2404958562667,133,2000,9.025321584,1.585930842,2000-05-12
"20",140,8.6157739110378,8.71499464220744,8.6157739110378,140,2000,10.19902356,1.547856925,2000-05-19
"21",147,9.20217931974921,9.30164787737968,9.20217931974921,147,2000,10.45389194,1.285056761,2000-05-26
"22",154,11.2454247035892,11.3534786193402,11.2454247035892,154,2000,12.38894173,1.240120421,2000-06-02
"23",161,12.1025962245654,12.2018187944392,12.1025962245654,161,2000,12.30020354,1.380302222,2000-06-09
"24",168,13.3224267384194,13.4138061462274,13.3224267384194,168,2000,13.67236047,1.494106074,2000-06-16
"25",175,12.3563651918782,12.4469703720153,12.3563651918782,175,2000,14.67410299,1.325728985,2000-06-23
"26",182,12.548533267087,12.6390524536373,12.548533267087,182,2000,13.72923804,1.195804497,2000-06-30
"27",189,10.552900937008,10.6227411518241,10.552900937008,189,2000,10.63272737,1.344683199,2000-07-07
"28",196,9.75673202526448,9.82871971914186,9.75673202526448,196,2000,10.11717676,1.210981758,2000-07-14
"29",203,10.6733498438097,10.7489920271641,10.6733498438097,203,2000,11.07876375,1.176040794,2000-07-21
"30",210,10.7257956239566,10.7965524645484,10.7257956239566,210,2000,11.50561588,1.3437041,2000-07-28
