"","date","year","day","doy","mod_gpp_sim","mod_gpp_unc95_sim","mod_lai_sim","mod_lai_unc95_sim","mod_nee_sim","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc"
"1",2015-01-07,2015,7,7,0.0127778944330937,0.0160711889929313,0.0198124773177376,0.0248916192820817,-1.84386707301675,0.13661539,1.485410822,NA,-9999,1.721260129,0.59634885
"2",2015-01-14,2015,14,14,0.0074278593785656,0.00943976776229575,0.0155446005751183,0.0197289497250546,-2.06389723337838,0.12169516,1.613666311,NA,-9999,1.433053982,0.58
"3",2015-01-21,2015,21,21,0.0103184373299087,0.0133121381931894,0.0126592077793707,0.0163800016698379,-1.84582543095801,0.093569162,1.556849407,NA,-9999,1.410863603,0.606545395
"4",2015-01-28,2015,28,28,0.00668572238677303,0.00880210206914764,0.0107445037044548,0.014078483969085,-1.77567217506715,0.238257256,1.496834513,NA,-9999,1.166392231,0.58
"5",2015-02-04,2015,35,35,0.00956058952323897,0.0127044444037822,0.00937815468931542,0.0124806835978579,-1.74267389547552,0.142610424,1.530676764,NA,-9999,1.074416045,0.58
"6",2015-02-11,2015,42,42,0.0113017135370789,0.0151066373845935,0.0084845430872761,0.0113256551305272,-1.73359045010818,0.274416913,1.583311075,0.1,0.25,1.011000624,0.58565463
"7",2015-02-18,2015,49,49,0.0144808353804328,0.0196130517065807,0.00792681880817218,0.0106625060571545,-1.80398591956449,0.183086518,1.433563529,0.54,0.25,1.230957377,0.649658645
"8",2015-02-25,2015,56,56,0.0144344181223221,0.0194606856021982,0.00768980210795984,0.0103460466479951,-1.87351205406902,0.287804654,1.593285813,0.65,0.25,1.215806978,0.59680318
"9",2015-03-04,2015,63,63,0.0207884271633468,0.0276487668097292,0.00792241935380286,0.0105532136859086,-1.93424452356688,0.272580685,1.588021865,NA,-9999,1.343465756,0.58
"10",2015-03-11,2015,70,70,0.0228797997065691,0.0298161191462011,0.00905182094202759,0.0118194988588041,-2.0590013908747,0.258510838,1.498359233,0.5,0.25,1.686595555,0.624212875
