"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_nee","mod_nee_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"1",7,0,0.159911273343543,0.263253500193508,0.312519311858049,1.67480386759584,1.83662751303354,7,2000,0.061201955,1.572188903,NA,-9999,1.378513046,0.58565463,2000-01-07
"2",14,0,0,0.232090734547609,0.303191746737328,1.60660065569817,1.73449696613384,14,2000,0.069064902,1.621375722,NA,-9999,1.262389893,0.657248204,2000-01-14
"3",21,0,0,0.206352867550183,0.295915826177535,1.63907343516747,1.76678449910805,21,2000,0.127633315,1.395783813,NA,-9999,1.125727927,0.592850996,2000-01-21
"4",28,0,0,0.188769800973246,0.291537700390103,1.45390568452708,1.57770484075769,28,2000,0.135436801,1.559048699,NA,-9999,1.00724021,0.778858225,2000-01-28
"5",35,0.0744656007634197,0.186561539466695,0.176546498449775,0.287994582881309,1.72450570701817,1.87450713135833,35,2000,0.21645225,1.50974594,NA,-9999,1.148506302,0.622933858,2000-02-04
"6",42,0.219400307742851,0.365425509532473,0.168540438463819,0.28582179645954,1.67042634025847,1.74379186533393,42,2000,0.23129387,1.516380249,NA,-9999,1.362698393,0.642794987,2000-02-11
"7",49,0,0.083184842479236,0.164450885329236,0.287740024815398,1.65052908296072,1.77614258276872,49,2000,0.163994886,1.536034001,NA,-9999,1.163440646,0.58565463,2000-02-18
"8",56,0,0.0912533191201178,0.159914970034876,0.286441303247319,1.65121134021973,1.77854442132129,56,2000,0.186513078,1.527202886,NA,-9999,1.231504004,0.610227219,2000-02-25
"9",63,0.27818023233115,0.500261709565302,0.156786708208277,0.285531861225755,1.55455946004582,1.66106327346785,63,2000,0.230059067,1.593706834,NA,-9999,1.262676568,0.647013587,2000-03-03
"10",70,0.255737234143643,0.467551529784871,0.157785733254319,0.29009863481762,1.54743341554019,1.64956538163707,70,2000,0.150321341,1.61628188,NA,-9999,1.206933425,0.619502028,2000-03-10
