"","year","doy","smAverage","smAnomaly","Drought_Status"
"1","2000",18,38.6675155356942,5.16138327382961,"2000-2020"
"2","2007",18,38.6675155356942,-8.89827744045608,"2000-2020"
"3","2001",18,38.6675155356942,5.77173446430582,"2000-2020"
"4","2008",18,38.6675155356942,6.85678505954392,"2000-2020"
"5","2015",18,38.6675155356942,3.15164517859152,"2000-2020"
"6","2014",18,38.6675155356942,3.40618982144871,"2000-2020"
"7","2002",18,38.6675155356942,7.31594577382961,"2000-2020"
"8","2009",18,38.6675155356942,1.74927613097251,"2000-2020"
"9","2016",18,38.6675155356942,0.345020178591511,"2000-2020"
"10","2006",18,38.6675155356942,1.69164220240101,"2000-2020"
"11","2013",18,38.6675155356942,0.830439821448714,"2000-2020"
"12","2020",18,38.6675155356942,-9.41846196426559,"2000-2020"
"13","2012",18,38.6675155356942,-3.78060779759898,"2000-2020"
"14","2004",18,38.6675155356942,-0.817027440456087,"2000-2020"
"15","2003",18,38.6675155356942,1.03607672621062,"2003"
"16","2010",18,38.6675155356942,2.28471249959792,"2010"
"17","2017",18,38.6675155356942,-1.39436077378939,"2000-2020"
"18","2019",18,38.6675155356942,-5.74493517855129,"2019"
"19","2011",18,38.6675155356942,-5.10428339283708,"2000-2020"
"20","2005",18,38.6675155356942,2.14776720240101,"2000-2020"
"21","2018",18,38.6675155356942,-6.59066434521799,"2018"
"22","2016",19,38.8274862528345,-5.10646244331066,"2000-2020"
"23","2017",19,38.8274862528345,-2.59151303854876,"2000-2020"
"24","2001",19,38.8274862528345,5.68578755668934,"2000-2020"
"25","2000",19,38.8274862528345,3.71887386621314,"2000-2020"
"26","2015",19,38.8274862528345,0.822311366213135,"2000-2020"
"27","2002",19,38.8274862528345,6.43875481859414,"2000-2020"
"28","2009",19,38.8274862528345,2.38466255668934,"2000-2020"
"29","2007",19,38.8274862528345,-0.018521967120158,"2000-2020"
"30","2020",19,38.8274862528345,-8.41953089569156,"2000-2020"
"31","2014",19,38.8274862528345,3.43583517573694,"2000-2020"
"32","2010",19,38.8274862528345,4.67373696145124,"2010"
"33","2008",19,38.8274862528345,3.98855243764174,"2000-2020"
"34","2018",19,38.8274862528345,-9.69139101473926,"2018"
"35","2003",19,38.8274862528345,1.64326969954654,"2003"
"36","2013",19,38.8274862528345,-1.06928982426306,"2000-2020"
"37","2019",19,38.8274862528345,-3.40177196712016,"2019"
"38","2012",19,38.8274862528345,0.27880839002264,"2000-2020"
"39","2006",19,38.8274862528345,-2.95387613378686,"2000-2020"
"40","2011",19,38.8274862528345,-8.05999220521546,"2000-2020"
"41","2005",19,38.8274862528345,3.30305243764174,"2000-2020"
"42","2004",19,38.8274862528345,4.93870422335604,"2000-2020"
"43","2016",20,38.0145544217687,-8.77723001700681,"2000-2020"
"44","2014",20,38.0145544217687,5.21697534013609,"2000-2020"
"45","2000",20,38.0145544217687,1.38777295918369,"2000-2020"
"46","2009",20,38.0145544217687,3.00515391156459,"2000-2020"
"47","2002",20,38.0145544217687,5.96401403061229,"2000-2020"
"48","2015",20,38.0145544217687,-1.99250680272111,"2000-2020"
"49","2017",20,38.0145544217687,-4.16884608843541,"2000-2020"
"50","2007",20,38.0145544217687,4.11154974489799,"2000-2020"
"51","2003",20,38.0145544217687,4.04059141156459,"2003"
"52","2012",20,38.0145544217687,0.322558673469395,"2000-2020"
"53","2001",20,38.0145544217687,4.66568962585029,"2000-2020"
"54","2010",20,38.0145544217687,5.4736181972789,"2010"
"55","2019",20,38.0145544217687,-3.72188477891161,"2019"
"56","2006",20,38.0145544217687,-0.913911564625806,"2000-2020"
"57","2020",20,38.0145544217687,-7.30386989795921,"2000-2020"
"58","2008",20,38.0145544217687,1.19544855442179,"2000-2020"
"59","2004",20,38.0145544217687,1.33426998299319,"2000-2020"
"60","2018",20,38.0145544217687,-7.59105442176871,"2018"
