"","week","AverageWeeklyMeanT","year","WeeklyMeanT","tempAnomaly","Drought_Status"
"544",18,10.3428080357143,"2003",13.344,3.00119196428571,"2003"
"545",18,10.3428080357143,"2005",13.2861428571429,2.94333482142857,"1989-2020"
"546",18,10.3428080357143,"2001",12.6407142857143,2.29790625,"1989-2020"
"547",18,10.3428080357143,"2002",8.79042857142857,-1.55237946428572,"1989-2020"
"548",18,10.3428080357143,"2004",12.3304285714286,1.98762053571429,"1989-2020"
"549",18,10.3428080357143,"1991",5.02042857142857,-5.32237946428572,"1989-2020"
"550",18,10.3428080357143,"1996",8.11728571428571,-2.22552232142857,"1989-2020"
"551",18,10.3428080357143,"2010",8.81314285714286,-1.52966517857143,"2010"
"552",18,10.3428080357143,"2006",11.6195714285714,1.27676339285714,"1989-2020"
"553",18,10.3428080357143,"2012",14.1801428571429,3.83733482142857,"1989-2020"
"554",18,10.3428080357143,"2018",10.8861428571429,0.543334821428571,"2018"
"555",18,10.3428080357143,"1992",7.40414285714286,-2.93866517857143,"1989-2020"
"556",18,10.3428080357143,"1989",9.94985714285714,-0.392950892857144,"1989-2020"
"557",18,10.3428080357143,"1998",9.96571428571429,-0.37709375,"1989-2020"
"558",18,10.3428080357143,"1999",10.3362857142857,-0.00652232142857301,"1989-2020"
"559",18,10.3428080357143,"2016",8.20242857142857,-2.14037946428572,"1989-2020"
"560",18,10.3428080357143,"2014",9.13657142857143,-1.20623660714286,"1989-2020"
"561",18,10.3428080357143,"1990",14.1702857142857,3.82747767857143,"1989-2020"
"562",18,10.3428080357143,"2017",8.35014285714286,-1.99266517857143,"1989-2020"
"563",18,10.3428080357143,"1997",11.6757142857143,1.33290625,"1989-2020"
"564",18,10.3428080357143,"2011",7.79257142857143,-2.55023660714286,"1989-2020"
"565",18,10.3428080357143,"2015",11.104,0.761191964285713,"1989-2020"
"566",18,10.3428080357143,"1993",10.5944285714286,0.251620535714284,"1989-2020"
"567",18,10.3428080357143,"2007",11.2785714285714,0.935763392857142,"1989-2020"
"568",18,10.3428080357143,"2019",7.21328571428571,-3.12952232142857,"2019"
"569",18,10.3428080357143,"2009",10.2488571428571,-0.0939508928571442,"1989-2020"
"570",18,10.3428080357143,"1995",11.9951428571429,1.65233482142857,"1989-2020"
"571",18,10.3428080357143,"2000",14.3521428571429,4.00933482142857,"1989-2020"
"572",18,10.3428080357143,"2013",10.6198571428571,0.277049107142856,"1989-2020"
"573",18,10.3428080357143,"2020",8.73742857142857,-1.60537946428571,"1989-2020"
"574",18,10.3428080357143,"2008",9.67842857142857,-0.664379464285716,"1989-2020"
"575",18,10.3428080357143,"1994",9.13557142857143,-1.20723660714286,"1989-2020"
"576",19,11.5140133928571,"2004",8.598,-2.91601339285714,"1989-2020"
"577",19,11.5140133928571,"2003",12.7001428571429,1.18612946428571,"2003"
"578",19,11.5140133928571,"2010",7.45685714285714,-4.05715625,"2010"
"579",19,11.5140133928571,"1989",9.97571428571429,-1.53829910714286,"1989-2020"
"580",19,11.5140133928571,"2017",10.3145714285714,-1.19944196428571,"1989-2020"
"581",19,11.5140133928571,"1996",5.69314285714286,-5.82087053571429,"1989-2020"
"582",19,11.5140133928571,"2014",10.1008571428571,-1.41315625,"1989-2020"
"583",19,11.5140133928571,"1990",13.0372857142857,1.52327232142857,"1989-2020"
"584",19,11.5140133928571,"2018",15.3251428571429,3.81112946428571,"2018"
"585",19,11.5140133928571,"1991",8.28271428571428,-3.23129910714286,"1989-2020"
"586",19,11.5140133928571,"2011",14.5605714285714,3.04655803571429,"1989-2020"
"587",19,11.5140133928571,"2002",13.3031428571429,1.78912946428571,"1989-2020"
"588",19,11.5140133928571,"2005",6.09557142857143,-5.41844196428571,"1989-2020"
"589",19,11.5140133928571,"1999",11.959,0.444986607142857,"1989-2020"
"590",19,11.5140133928571,"2001",12.4685714285714,0.954558035714285,"1989-2020"
"591",19,11.5140133928571,"1997",9.141,-2.37301339285714,"1989-2020"
"592",19,11.5140133928571,"1998",16.1975714285714,4.68355803571429,"1989-2020"
"593",19,11.5140133928571,"2006",13.8992857142857,2.38527232142857,"1989-2020"
"594",19,11.5140133928571,"2012",12.2181428571429,0.704129464285714,"1989-2020"
"595",19,11.5140133928571,"2020",9.51214285714286,-2.00187053571429,"1989-2020"
"596",19,11.5140133928571,"1993",15.241,3.72698660714286,"1989-2020"
"597",19,11.5140133928571,"2015",12.704,1.18998660714286,"1989-2020"
"598",19,11.5140133928571,"2007",12.1824285714286,0.668415178571429,"1989-2020"
"599",19,11.5140133928571,"2013",11.6815714285714,0.167558035714286,"1989-2020"
"600",19,11.5140133928571,"2016",15.2758571428571,3.76184375,"1989-2020"
"601",19,11.5140133928571,"2009",11.6024285714286,0.0884151785714291,"1989-2020"
"602",19,11.5140133928571,"2019",8.01814285714286,-3.49587053571429,"2019"
"603",19,11.5140133928571,"1994",12.4364285714286,0.922415178571429,"1989-2020"
"604",19,11.5140133928571,"1992",9.23728571428571,-2.27672767857143,"1989-2020"
"605",19,11.5140133928571,"2008",14.0314285714286,2.51741517857143,"1989-2020"
"606",19,11.5140133928571,"2000",16.258,4.74398660714286,"1989-2020"
"607",19,11.5140133928571,"1995",8.94042857142857,-2.57358482142857,"1989-2020"
"608",20,11.6772723214286,"1989",13.7492857142857,2.07201339285714,"1989-2020"
"609",20,11.6772723214286,"2003",9.949,-1.72827232142857,"2003"
"610",20,11.6772723214286,"2004",11.4294285714286,-0.247843749999999,"1989-2020"
"611",20,11.6772723214286,"2014",11.4801428571429,-0.197129464285714,"1989-2020"
"612",20,11.6772723214286,"1990",11.6187142857143,-0.0585580357142845,"1989-2020"
"613",20,11.6772723214286,"1997",16.7535714285714,5.07629910714286,"1989-2020"
"614",20,11.6772723214286,"2001",12.4141428571429,0.736870535714285,"1989-2020"
"615",20,11.6772723214286,"2002",14.2378571428571,2.56058482142857,"1989-2020"
"616",20,11.6772723214286,"2012",8.50971428571428,-3.16755803571429,"1989-2020"
