"","day","mod_gpp_sim","mod_gpp_unc95_sim","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"1",5467,0.0127778944330937,0.0160711889929313,7,2015,0.13661539,1.485410822,NA,-9999,1.721260129,0.59634885,2014-12-19
"2",5474,0.0074278593785656,0.00943976776229575,14,2015,0.12169516,1.613666311,NA,-9999,1.433053982,0.58,2014-12-26
"3",5481,0.0103184373299087,0.0133121381931894,21,2015,0.093569162,1.556849407,NA,-9999,1.410863603,0.606545395,2015-01-02
"4",5488,0.00668572238677303,0.00880210206914764,28,2015,0.238257256,1.496834513,NA,-9999,1.166392231,0.58,2015-01-09
"5",5495,0.00956058952323897,0.0127044444037822,35,2015,0.142610424,1.530676764,NA,-9999,1.074416045,0.58,2015-01-16
"6",5502,0.0113017135370789,0.0151066373845935,42,2015,0.274416913,1.583311075,0.1,0.25,1.011000624,0.58565463,2015-01-23
"7",5509,0.0144808353804328,0.0196130517065807,49,2015,0.183086518,1.433563529,0.54,0.25,1.230957377,0.649658645,2015-01-30
"8",5516,0.0144344181223221,0.0194606856021982,56,2015,0.287804654,1.593285813,0.65,0.25,1.215806978,0.59680318,2015-02-06
"9",5523,0.0207884271633468,0.0276487668097292,63,2015,0.272580685,1.588021865,NA,-9999,1.343465756,0.58,2015-02-13
"10",5530,0.0228797997065691,0.0298161191462011,70,2015,0.258510838,1.498359233,0.5,0.25,1.686595555,0.624212875,2015-02-20
"11",5537,0.0282962147698234,0.0341747381177994,77,2015,0.364469674,1.411126375,0.5,0.25,1.452206085,0.627150742,2015-02-27
"12",5544,0.0616685557330664,0.0741571157039583,84,2015,0.910954777,1.447240453,0.7,0.25,2.015321304,0.663779943,2015-03-06
"13",5551,0.100556743612316,0.118355675877823,91,2015,0.515094062,1.460254612,0.52,0.25,1.469545277,0.58,2015-03-13
"14",5558,0.33380461166114,0.382243324897526,98,2015,0.73715997,1.354125931,0.66,0.25,1.303758428,0.666801516,2015-03-20
"15",5565,0.939784839730859,1.02498787268665,105,2015,1.765440907,1.358774115,0.95,0.25,1.841923679,0.652075653,2015-03-27
"16",5572,1.87965148651999,1.99544261757883,112,2015,NA,2.116306013,1.22,0.25,NA,0.911057024,2015-04-03
"17",5579,3.28650969187798,3.39289028821238,119,2015,NA,2.116306013,1.3,0.26,NA,0.911057024,2015-04-10
"18",5586,5.41048161242287,5.50993480549731,126,2015,6.251290541,1.356420921,2.9,1.66,-0.98202307,0.706210229,2015-04-17
"19",5593,7.71968570487559,7.81795523466086,133,2015,7.969400301,1.363772495,4.54,0.92,-2.438786432,0.622632598,2015-04-24
"20",5600,10.4580834457268,10.558490428408,140,2015,9.923524489,1.260537514,6.04,1.85,-4.194836925,0.657533606,2015-05-01
"21",5607,9.97305894627659,10.0391687514042,147,2015,10.0138251,1.180778334,4.63,0.94,-4.53084495,0.629470459,2015-05-08
"22",5614,11.6112949741408,11.6833059403871,154,2015,10.41869712,1.101010403,NA,-9999,-5.363993794,0.58565463,2015-05-15
"23",5621,13.7001556222832,13.7820070809324,161,2015,12.79090853,1.270642312,2.67,0.87,-7.059433138,0.644422283,2015-05-22
"24",5628,14.121651364271,14.1997900404126,168,2015,13.79773368,1.386824806,3.2,1.63,-7.609030007,0.682885817,2015-05-29
"25",5635,10.674706978458,10.7395551606477,175,2015,NA,2.116306013,NA,-9999,NA,0.911057024,2015-06-05
"26",5642,15.1529236459456,15.2265843791926,182,2015,NA,2.116306013,6.8,1.36,NA,0.911057024,2015-06-12
"27",5649,14.1737204247849,14.2519599898897,189,2015,11.74397726,1.193429781,6.48,1.34,-5.870523564,0.678651721,2015-06-19
"28",5656,13.3465118314651,13.4155533294519,196,2015,11.8362835,1.348853074,4.77,0.96,-7.457642173,0.677226331,2015-06-26
"29",5663,14.0997738265833,14.1703644687788,203,2015,12.26202961,1.544658019,NA,-9999,-7.29092485,0.731812054,2015-07-03
"30",5670,14.0952682610018,14.1798738198478,210,2015,11.59359263,1.338967401,4.94,1.01,-7.650399462,0.661834165,2015-07-10
"31",5677,15.0173807568961,15.1028083811456,217,2015,10.29961894,1.381694472,6.8,1.36,-7.082967066,0.697339653,2015-07-17
"32",5684,12.9924587914998,13.0630129088531,224,2015,8.259117594,1.246563273,6.52,1.34,-5.054380233,0.601849895,2015-07-24
